,Total_Human,Total_LLM,Total_Invalid,LLM_Preference_Ratio
white_wedding,0,47,3,1.0
lawman,3,47,0,0.94
the_hit,3,45,2,0.9375
bad_blood,3,43,4,0.9347826086956522
don_the_chase_begins_again,4,44,2,0.9166666666666666
shakalaka_boom_boom,4,44,2,0.9166666666666666
naseeb_apna_apna,6,43,1,0.8775510204081632
chakkikotha_chankaran,6,41,3,0.8723404255319149
summer_heat,7,40,3,0.851063829787234
humanit,8,40,2,0.8333333333333334
more_than_a_secretary,8,39,3,0.8297872340425532
la_religieuse,8,39,3,0.8297872340425532
daddy_cool,8,39,3,0.8297872340425532
breezy,8,39,3,0.8297872340425532
rokkk,8,38,4,0.8260869565217391
the_journey_of_jared_price,8,37,5,0.8222222222222222
jungle_jingles,8,37,5,0.8222222222222222
i_was_a_teenage_frankenstein,9,40,1,0.8163265306122449
spun,9,39,2,0.8125
deadgirl,9,37,4,0.8043478260869565
sebastian_star_bear_first_missio,9,37,4,0.8043478260869565
captivity,9,37,4,0.8043478260869565
cats__dogs,9,36,5,0.8
dead_ringer,10,39,1,0.7959183673469388
six_degrees_of_separation,10,38,2,0.7916666666666666
mereka_bilang_saya_monyet,9,34,7,0.7906976744186046
love_exposure,10,37,3,0.7872340425531915
lost_in_america,9,33,8,0.7857142857142857
conrack,9,33,8,0.7857142857142857
me_and_orson_welles,10,36,4,0.782608695652174
see_no_evil,10,36,4,0.782608695652174
quality_street,10,36,4,0.782608695652174
less_than_zero,11,38,1,0.7755102040816326
a_case_of_rape,11,38,1,0.7755102040816326
up_up_and_away,10,33,7,0.7674418604651163
corporate,11,36,3,0.7659574468085106
snow_falling_on_cedars,11,35,4,0.7608695652173914
pepi_luci_bom_and_other_girls_on,11,35,4,0.7608695652173914
final_storm,11,35,4,0.7608695652173914
the_hill,11,34,5,0.7555555555555555
catwoman,12,37,1,0.7551020408163265
the_curse_of_frankenstein,12,36,2,0.75
angaaray,12,36,2,0.75
helen_of_four_gates,12,35,3,0.7446808510638298
cleopatra,12,35,3,0.7446808510638298
tower_of_london,12,34,4,0.7391304347826086
the_mad_magician,12,33,5,0.7333333333333333
spanish_masala,13,35,2,0.7291666666666666
akira,13,35,2,0.7291666666666666
trial_by_jury,13,35,2,0.7291666666666666
going_under,12,32,6,0.7272727272727273
beneath_hill_60,12,32,6,0.7272727272727273
severance,12,32,6,0.7272727272727273
no_sos_vos_soy_yo,13,34,3,0.723404255319149
julai,13,34,3,0.723404255319149
pyaar_ke_side_effects,13,34,3,0.723404255319149
gigi,13,34,3,0.723404255319149
madadayo,13,34,3,0.723404255319149
saravana,13,34,3,0.723404255319149
yellow_sky,13,34,3,0.723404255319149
andaru_dongale_dorikithe,13,34,3,0.723404255319149
rabbit_fire,13,33,4,0.717391304347826
rescue_dawn,13,33,4,0.717391304347826
trapped_in_the_closet_chapters_1,12,30,8,0.7142857142857143
inspector_gadget,14,35,1,0.7142857142857143
daivanamathil,14,35,1,0.7142857142857143
two_for_the_road,13,32,5,0.7111111111111111
five_and_dime,14,34,2,0.7083333333333334
hitman,14,34,2,0.7083333333333334
nimas_trujano,14,34,2,0.7083333333333334
marked_woman,14,33,3,0.7021276595744681
the_blot,14,33,3,0.7021276595744681
teen_thay_bhai,14,33,3,0.7021276595744681
mogambo,14,33,3,0.7021276595744681
kung_pow_enter_the_fist,13,30,7,0.6976744186046512
dont_look_now,14,32,4,0.6956521739130435
november,14,32,4,0.6956521739130435
intent_to_kill,14,32,4,0.6956521739130435
tirangaa,15,34,1,0.6938775510204082
pierrot_le_fou,15,34,1,0.6938775510204082
the_miracle_man,15,33,2,0.6875
